Category,Category2,Item Name,Disposal Category,Cleaning/Preparation Steps ,Disposal Instructions,Sustainable Alternatives,Environmental Impact,Image,Disposal Details,Sustainable Details
Plastic,Plastic,Plastic Etc.,Recyclable,"Rinse thoroughly, peel off any labels","Place in the recycling bin. Most plastics can be recycled, but the recyclability depends on the type of plastic they are made from. ",Use reusable containers instead of single-use ones.,"When you skip plastic Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use.",assets/images/items/PlasticEtc.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.  Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  HDPE (No2 high-density polyethylene), used in household cleaner bottles, are among the most easy-to-recycle plastics.  High-density polyethylene is considered to be one of the safest forms of plastic, and it’s also the most commonly recycled plastic. It’s a great moisture barrier with excellent chemical resistance, and it’s a more stable form of plastic than PET. While it is considered a safer option for food and drink products, it’s never safe to reuse HDPE plastic for food or drinks if it did not originally contain either.   PVC (No.3, Polyvinyl Chloride): used for Pipes, blister packs, toys and clamshell containers, are not recyclable due to toxins.  Polyvinyl chloride is a hard plastic that is known for its long-term stability, good weathering ability, and chemical resistance. These properties make it a good choice for household products like pipes, frames, gutters, and more. PVC is known to leach toxins throughout its entire life cycle, making it one of the most poisonous plastics.  LDPE (No.4, Low Density Polyethylene): used for plastic grocery bags, film wraps and bread bags, and it’s generally not recyclable due to processing challenges. But many grocery stores and recycling centers serve as drop-off centers for collecting recyclables of this type.   PP (No.5, Polypropylene): used for plastic cups, yogurt containers, straws, and medicine bottles, and its recyclability varies.  Polypropylene is a hard but flexible plastic with a high melting point and excellent chemical resistance. These properties make it one of the safer plastic options to use for food and drink products at a higher temperature.  PS (No.6, Polystyrene): used for styrofoam, CD cases and meat trays, and it’s generally not recyclable.  Polystyrene, commonly known as Styrofoam, is a rigid plastic that is commonly found foamed and can be brittle. It is a highly toxic plastic that is affected by fats, solvents, and heat and should avoid being used for fatty or hot food and drinks. Polystyrene can be recycled, but it is difficult to do and programs to recycle it are not widely available. 
Other (No.7, Mixed/Miscellaneous): used for Sports bottles and electronic parts, and it’s usually not recyclable.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Switch to durable stainless steel or glass containers that can be used repeatedly, reducing the need for single-use plastic ones."
Plastic,Beverage Container,Plastic Bottle Etc.,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Use reusable bottles instead of single-use ones.,"When you skip Plastic Bottles Etc., you can reduce Plastic Waste, CO2 Emissions and Landfill Use.",assets/images/items/PlasticBottlesEtc.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Switch to durable stainless steel or glass containers that can be used repeatedly, reducing the need for single-use plastic ones."
Plastic,Beverage Container,Plastic Water Bottle,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Use reusable water bottles instead of single-use ones.,"When you skip one plastic milk jug,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticWaterBottles.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Switch to durable stainless steel or glass water bottles that can be used repeatedly, reducing the need for single-use plastic bottles."
Plastic,Beverage Container,Plastic Soda Bottle,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Opt for refillable soda bottles to reduce waste.,"When you skip one Plastic Soda Bottles,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/PlasticSodaBottles.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.",Choose refillable glass or stainless steel bottles for your soda and consider using a home soda maker to eliminate the need for single-use bottles.
Plastic,Beverage Container,Plastic Milk Jug,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Switch to glass milk bottles to avoid plastic waste.,"When you skip one plastic milk jug,
Plastic Waste Reduction: 0.05 kg
CO2 Emissions Reduction: 0.18 kg
Landfill Use Reduction: 0.3 liters",assets/images/items/PlasticMilkJugs.png,"HDPE (No2 high-density polyethylene), used in household cleaner bottles, are among the most easy-to-recycle plastics.   High-density polyethylene is considered to be one of the safest forms of plastic, and it’s also the most commonly recycled plastic. It’s a great moisture barrier with excellent chemical resistance, and it’s a more stable form of plastic than PET. While it is considered a safer option for food and drink products, it’s never safe to reuse HDPE plastic for food or drinks if it did not originally contain either.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Use glass milk bottles, which can be returned and reused, or opt for larger cartons that produce less waste compared to single-use plastic jugs."
Plastic,Beverage Container,Plastic Juice Bottle,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Choose glass or stainless steel juice bottles.,"When you skip one bottle,  Plastic Waste Reduction: 0.03 kg CO2 Emissions Reduction: 0.12 kg Landfill Use Reduction: 0.2 liters",assets/images/items/PlasticJuiceBottle.png,"PEP (No.1 Polyethylene Terephthalate), commonly used for water bottles, soda bottles, and some food containers that can be recyclable.   Polyethylene terephthalate is the most commonly used plastic in the world. It’s a good gas and moisture barrier, keeping oxygen out and carbonation in, and is mainly used to package food and drinks. Packaging made from this type of plastic can be difficult to clean, and higher temperatures can cause toxins to leach, so it is recommended to not reuse products made from PET.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Purchase juice in glass bottles, which are easier to recycle, or make fresh juice at home and store it in reusable glass or stainless steel bottles."
Plastic,Beverage Container,Plastic cup,Recyclable,Rinse thoroughly,Place in the recycling bin.,Switch to glass cup to avoid plastic waste.,"When you skip one plastic cup,
Plastic Waste Reduction: 0.01 kg
CO2 Emissions Reduction: 0.08 kg
Landfill Use Reduction: 0.1 liters",assets/images/items/Plasticcup.png,"PP (No.5, Polypropylene): used for plastic cups, yogurt containers, straws, and medicine bottles, and its recyclability varies. But yogurt containers are usually recyclable.  Polypropylene is a hard but flexible plastic with a high melting point and excellent chemical resistance. These properties make it one of the safer plastic options to use for food and drink products at a higher temperature.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Use glass cups, which can be returned and reused."
Plastic,Personal Care,Plastic Detergent Bottle,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Use refillable containers or Homemade Laundry Detergent Recipe,"When you skip one bottle,  Plastic Waste Reduction: 0.15 kg CO2 Emissions Reduction: 0.5 kg Landfill Use Reduction: 1.0 liters",assets/images/items/PlasticDetergentBottles.png,"HDPE (No2 high-density polyethylene), used in household cleaner bottles, are among the most easy-to-recycle plastics.   High-density polyethylene is considered to be one of the safest forms of plastic, and it’s also the most commonly recycled plastic. It’s a great moisture barrier with excellent chemical resistance, and it’s a more stable form of plastic than PET. While it is considered a safer option for food and drink products, it’s never safe to reuse HDPE plastic for food or drinks if it did not originally contain either.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Homemade Detergent
Ingredients:
1 bar unscented soap
1 cup washing soda
1 cup borax 
Instructions:
1. Grate the soap into fine shavings.
2. Mix grated soap, washing soda, and borax in a large bowl.
3. Store in an airtight container.
4. Use about 2 tablespoons per laundry load, adjusting as needed.
This detergent is easy to make, eco-friendly, and cost-effective.
 This recipe is both eco-friendly and budget-conscious, and it should keep your clothes clean without any unnecessary chemicals."
Plastic,Personal Care,Plastic Lotion Bottle,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Use refillable glass lotion bottles instead of plastic.,"When you skip one bottle,  Plastic Waste Reduction: 0.02 kg CO2 Emissions Reduction: 0.09 kg Landfill Use Reduction: 0.15 liters",assets/images/items/PlasticLotionBottle.png,"HDPE (No2 high-density polyethylene), used in household cleaner bottles, are among the most easy-to-recycle plastics.   High-density polyethylene is considered to be one of the safest forms of plastic, and it’s also the most commonly recycled plastic. It’s a great moisture barrier with excellent chemical resistance, and it’s a more stable form of plastic than PET. While it is considered a safer option for food and drink products, it’s never safe to reuse HDPE plastic for food or drinks if it did not originally contain either.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Choose lotion bars, which eliminate the need for packaging, or refillable glass bottles that can be used over and over, reducing plastic waste."
Plastic,Personal Care,Plastic Shampoo Bottle,Recyclable,"Rinse thoroughly, peel off any labels",Place in the recycling bin.,Switch to shampoo bars to eliminate plastic bottles.,"When you skip one bottle,  Plastic Waste Reduction: 0.03 kg CO2 Emissions Reduction: 0.13 kg Landfill Use Reduction: 0.25 liters",assets/images/items/PlasticShampooBottles.png,"HDPE (No2 high-density polyethylene), used in household cleaner bottles, are among the most easy-to-recycle plastics.   High-density polyethylene is considered to be one of the safest forms of plastic, and it’s also the most commonly recycled plastic. It’s a great moisture barrier with excellent chemical resistance, and it’s a more stable form of plastic than PET. While it is considered a safer option for food and drink products, it’s never safe to reuse HDPE plastic for food or drinks if it did not originally contain either.  The plastic recycling rate in the U.S. is low, around 9%, with much of the plastic still being landfilled or incinerated. The complexity of the recycling system and the challenges in sorting plastics are major contributing factors. Therefore, it’s important to check the plastic types and follow local guidelines for proper disposal.","Shampoo bars are an excellent zero-waste option that eliminates the need for plastic packaging, or use refillable bottles to further reduce waste."
